"PERIODO","ANO","MES","SEMANA","DIA","HOJE","PONTO","ACESSO","FERIAS","AFASTADO","ADMITIDO","DEMITIDO","PONTO_BATIDAS","ACESSO_BATIDAS","REF_EXE_BATIDAS","REF_FUNC_BATIDAS","EXTRA","EXTERNO","ATRASO","CUSTO","TOTAL_FUNCIONARIOS","TOTAL_TRABALHANDO","MIN_DEMITIDO","MIN_EXTERNO","MIN_ATRASO","TOTAL_ATIVOS"
"18/10/2015","2015","10/2015", "1  Semana" ,"18/10","N","0","0","0","1","0","0","0","146","0","0","0","9","0","0","3573","0","0","-9","0","3502"
"18/10/2014","2014","10/2014", "7  Semana" ,"18/10","N","1","0","0","0","0","0","2","0","0","0","0","0","0","0","3688","0","0","0","0","3502"
"18/09/2014","2014","09/2014", "5  Semana" ,"18/09","N","1","0","0","0","0","0","2","0","0","0","0","0","0","0","3625","0","0","0","0","3502"
"18/08/2014","2014","08/2014", "2  Semana" ,"18/08","N","1","0","0","0","0","0","2","0","0","0","0","0","0","1","3644","0","0","0","0","3502"
"18/07/2015","2015","07/2015", "7  Semana" ,"18/07","N","868","0","0","13","0","0","2506","1050","0","0","2186","190","0","19165","3554","0","0","-190","0","3502"
"18/07/2014","2014","07/2014", "6  Semana" ,"18/07","N","1","0","0","3","0","0","2","0","0","0","0","0","0","0","3613","0","0","0","0","3502"
"18/05/2015","2015","05/2015", "2  Semana" ,"18/05","N","1","0","0","58","0","0","2","0","0","0","0","0","0","0","3676","0","0","0","0","3502"
"18/04/2015","2015","04/2015", "7  Semana" ,"18/04","N","1","0","0","0","0","0","2","0","0","0","0","0","0","0","3622","0","0","0","0","3502"
"18/03/2015","2015","03/2015", "4  Semana" ,"18/03","N","1","0","0","0","0","0","2","0","0","0","0","0","0","1","3576","0","0","0","0","3502"
"18/02/2016","2016","02/2016", "5  Semana" ,"18/02","N","5352","0","0","4","0","0","6607","4374","847","0","762","1694","198","4008","3644","0","0","-1694","-198","3502"
